Пивоварня,Стиль,Плотность,Алкоголь,Горечь,Хмель,Начало выпуска,Рейтинг,Пиво,Солод,Производство,Подрядчик,Добавки,Ссылка
Brewlok,Sour - Smoothie / Pastry,,"4,7%",,,15.04.2024,"3,195",Kissberry,,,,,https://your.beer/beer/brewlok-brewery-kissberry
"Brewlok, Заповедник",Cider - Graff,,"5,3%",,,31.05.2024,"3,667",Граф Толстой,,,,,https://your.beer/beer/brewlok-brewery-graf-tolstoj
Brewlok,IPA - Other,,"6,5%",,,03.05.2024,"3,699",Гречный путь,,,,,https://your.beer/beer/brewlok-brewery-grechnyj-put
Brewlok,IPA - Other,,"6,9%",,,15.03.2024,"3,724",Глуповцы,,,,,https://your.beer/beer/brewlok-brewery-glupovcy
Brewlok,IPA - Milkshake,,"6,9%",40 IBU,,06.05.2024,"3,5",CO-CO NUTS,,,,,https://your.beer/beer/brewlok-brewery-co-co-nuts
Brewlok,Sour - Other,,"5,0%",,,14.06.2024,"3,963",Майский Баг,,,,,https://your.beer/beer/brewlok-brewery-majskij-bag
Brewlok,Wild Ale - Other,,"6,9%",,,19.01.2024,"4,189",Purpura,,,,,https://your.beer/beer/brewlok-brewery-purpura
Brewlok,Wild Ale - Other,,"6,9%",,,09.02.2024,"4,138",Royal Plum,,,,,https://your.beer/beer/brewlok-brewery-royal-pulm
Brewlok,IPA - Other,,"6,9%",,,01.12.2023,"3,722",Grecha,,,,,https://your.beer/beer/brewlok-brewery-grecha
Brewlok,Mead - Other,,"5,5%",,,24.11.2023,"3,373",Звездочет,,,,,https://your.beer/beer/brewlok-brewery-zvezdochet
Brewlok,Lager - Helles,,"6,0%",,,07.03.2024,"3,832",Nothing But Lager,,,,,https://your.beer/beer/brewlok-brewery-nothing-but-lager
Brewlok,Sour - Smoothie / Pastry,,"6,9%",,,17.11.2023,"3,5",Salvador,,,,,https://your.beer/beer/brewlok-brewery-salvador
Brewlok,Sour - Fruited,,"6,8%",,,08.12.2023,"3,932",Whitch Berries,,,,,https://your.beer/beer/brewlok-brewery-whitch-berries
Brewlok,Porter - Other,,"6,9%",,,26.12.2023,"3,629",Опять валет!,,,,,https://your.beer/beer/brewlok-brewery-opyat-valet
Brewlok,Mead - Other,,"5,5%",,,24.11.2023,"3,216",Шахерезада,,,,,https://your.beer/beer/brewlok-brewery-shaherezada
Brewlok,Porter - Imperial / Double Baltic,,"6,8%",,,21.12.2023,"4,309",Достоевский. Том 9.,,,,,https://your.beer/beer/brewlok-brewery-dostoevskij-tom-9
Brewlok,Wild Ale - Other,,"6,9%",,,26.01.2024,"4,195",Knazenica,,,,,https://your.beer/beer/brewlok-brewery-knazenica
Brewlok,Porter - Other,,"6,9%",,,26.12.2023,"3,573",Ирония стрелы,,,,,https://your.beer/beer/brewlok-brewery-ironiya-strely
Brewlok,Brown Ale - Other,,"5,3%",,,01.12.2023,"3,526",Королева,,,,,https://your.beer/beer/brewlok-brewery-koroleva
Brewlok,Winter Ale,,"6,8%",,,12.01.2024,"3,472",Нарядная,,,,,https://your.beer/beer/brewlok-brewery-naryadnaya
Brewlok,Fruit Beer,,"4,0%",,,26.12.2023,"3,89",Одна дома,,,,,https://your.beer/beer/brewlok-brewery-odna-doma
Brewlok,Wild Ale - Other,,"6,9%",,,19.01.2024,"4,135",Sohei,,,,,https://your.beer/beer/brewlok-brewery-sohei
Brewlok,Altbier - Sticke,,"6,8%",,,02.02.2024,"3,954",Zugzwang,,,,,https://your.beer/beer/brewlok-brewery-zugzwang
Brewlok,IPA - Other,,"5,5%",,,01.12.2023,"3,795",Черный Пес,,,,,https://your.beer/beer/brewlok-brewery-chernyj-pes
Brewlok,IPA - Other,,"6,8%",,,08.12.2023,"3,74",New Vistas,,,,,https://your.beer/beer/brewlok-brewery-new-vistas
Brewlok,Mead - Other,,"5,5%",,,24.11.2023,"2,623",Бабочка на розе,,,,,https://your.beer/beer/brewlok-brewery-babochka-na-roze
Brewlok,Sour - Smoothie / Pastry,,"5,0%",,,08.09.2023,"3,727",Будье добры и вспомните детство,,,,,https://your.beer/beer/brewlok-brewery-bude-dobry-i-vspomnite-detstvo
Brewlok,Stout - Russian Imperial,,"6,8%",,,14.10.2023,"4,194",Хармс. Том 2 / Harms. Volume 2 2023,,,,,https://your.beer/beer/brewlok-brewery-harms-tom-2-harms-volume-2-2023
Brewlok,Sour - Smoothie / Pastry,,"4,5%",,,16.06.2023,"3,633",Soul Surfer,,,,,https://your.beer/beer/brewlok-brewery-soul-surfer
Brewlok,Sour - Other,,"5,3%",,,27.10.2023,"3,624",Basio Profumato,,,,,https://your.beer/beer/brewlok-brewery-basio-profumato
Brewlok,Sour - Other,,"5,3%",,,19.10.2023,"3,613",Cherry Mood,,,,,https://your.beer/beer/brewlok-brewery-cherry-mood
Brewlok,Lager - IPL (India Pale Lager),,"6,2%",,,03.11.2023,"3,774",Папа Карло,,,,,https://your.beer/beer/brewlok-brewery-papa-karlo
Brewlok,Sour - Other,,"5,2%",,,13.09.2023,"3,723",Пётр Паркер,,,,,https://your.beer/beer/brewlok-brewery-pyotr-parker
Brewlok,Sour - Other,,"5,4%",,,27.10.2023,"3,717",Blueberry Night,,,,,https://your.beer/beer/brewlok-brewery-blueberry-night
Brewlok,IPA - Milkshake,,"5,4%",,,16.06.2023,"3,657",Will Shakes,,,,,https://your.beer/beer/brewlok-brewery-will-shakes
Brewlok,Stout - Russian Imperial,,"6,8%",,,03.11.2023,"4,281",Есенин. Том 3 \ Esenin. Volume 3,,,,,https://your.beer/beer/brewlok-brewery-esenin-tom-3-esenin-volume-3
Brewlok,Pale Ale - Other,,"5,8%",,,23.06.2023,"3,649",Murakami,,,,,https://your.beer/beer/brewlok-brewery-murakami
Brewlok,Sour - Other Gose,,"5,5%",,,21.06.2023,"3,533",Seaman,,,,,https://your.beer/beer/brewlok-brewery-seaman
Brewlok,Sour - Smoothie / Pastry,,"4,7%",,,16.08.2023,"3,732",Виктория,,,,,https://your.beer/beer/brewlok-brewery-viktoriya
Brewlok,Wheat Beer - Other,,"4,4%",,,01.11.2023,N/A,Wheat Track,,,,,https://your.beer/beer/brewlok-brewery-wheat-track
Brewlok,Kölsch,,"6,3%",,,18.08.2023,"3,152",Шах и мат,,,,,https://your.beer/beer/brewlok-brewery-shah-i-mat
Brewlok,Sour - Other Gose,,"6,9%",,,11.08.2023,"3,621",Ostriche,,,,,https://your.beer/beer/brewlok-brewery-ostriche
Brewlok,Sour - Other Gose,,"4,2%",,,13.06.2023,"3,192",The Trash Tomatoes,,,,,https://your.beer/beer/brewlok-brewery-the-trash-tomatoes
"КУЛИNAR, Brewlok",Sour - Smoothie / Pastry,,"6,0%",,,14.11.2023,"4,353",SCHWARZWALDER KIRSCHTORTE,,,,,https://your.beer/beer/kulinar-schwarzwalder-kirschtorte
Brewlok,Lager - Other,,"6,4%",,,10.11.2023,"3,721",October,,,,,https://your.beer/beer/brewlok-brewery-october
Brewlok,IPA - Other,,"6,9%",,,10.11.2023,"3,782",Shuffle,,,,,https://your.beer/beer/brewlok-brewery-shuffle
Brewlok,Non-Alcoholic Beer - IPA,,"0,5%",,,10.03.2023,"2,949",SOUPCULTURE,,,,,https://your.beer/beer/brewlok-brewery-soupculture
Brewlok,Sour - Fruited,,"5,0%",,,03.05.2023,"3,151",Guanhua,,,,,https://your.beer/beer/brewlok-brewery-guanhua
Brewlok,IPA - New England / Hazy,,"5,5%",,,14.04.2023,"3,629",Mangay,,,,,https://your.beer/beer/brewlok-brewery-mangay
Brewlok,Altbier - Traditional,,"6,8%",,,10.03.2023,4,Endspiel | Эндшпиль,,,,,https://your.beer/beer/brewlok-brewery-endspiel-endshpil
Brewlok,Fruit Beer,,"5,5%",,,02.06.2023,"3,4",Колхозный панк Cherry Ale,,,,,https://your.beer/beer/brewlok-brewery-kolhoznyj-pank-cherry-ale
Brewlok,Stout - Russian Imperial,,"6,8%",,,13.01.2023,"4,18",Маяковский. Том 2. Глава 2,,,,,https://your.beer/beer/brewlok-brewery-mayakovskij-tom-2-glava-2
Brewlok,IPA - Black / Cascadian Dark Ale,,"6,0%",,,17.02.2023,"3,792",Лысый Шарлатан,,,,,https://your.beer/beer/brewlok-brewery-lysyj-sharlatan
Brewlok,IPA - New England / Hazy,,"5,5%",,,13.03.2023,"3,519",Штопор,,,,,https://your.beer/beer/brewlok-brewery-shtopor
Brewlok,Stout - Imperial / Double Milk,,"6,8%",,,20.01.2023,"3,995",7 Вершин | 7 Summits Orizaba,,,,,https://your.beer/beer/brewlok-brewery-7-vershin-7-summits-orizaba
Brewlok,Porter - Other,,"6,3%",,,17.02.2023,"3,783",Призрак у дороги,,,,,https://your.beer/beer/brewlok-brewery-prizrak-u-dorogi
Brewlok,IPA - Triple New England / Hazy,,"6,8%",,,07.04.2023,"3,8",Объект-Д,,,,,https://your.beer/beer/brewlok-brewery-obekt-d
Brewlok,Red Ale - Irish,,"4,7%",,,22.12.2022,"3,571",Колхозный панк,,,,,https://your.beer/beer/brewlok-brewery-kolhoznyj-pank
Brewlok,Lager - IPL (India Pale Lager),,"6,8%",,,26.05.2023,"3,76",Ледяной Кунгур,,,,,https://your.beer/beer/brewlok-brewery-ledyanoj-kungur
"Brewlok, Беру Выходной",Stout - Russian Imperial,,"6,8%",,,24.01.2023,"4,047",Красная Баронесса,,,,,https://your.beer/beer/brewlok-brewery-krasnaya-baronessa
Brewlok,Wild Ale - Other,,"6,8%",,,19.05.2023,"3,953",Viscum,,,,,https://your.beer/beer/brewlok-brewery-viscum
Brewlok,Stout - Russian Imperial,,"6,8%",,,20.01.2023,"4,056",7 Вершин | 7 Summits Damavand,,,,,https://your.beer/beer/brewlok-brewery-7-vershin-7-summits-damavand
Brewlok,IPA - Imperial / Double New England / Hazy,,"6,8%",,,13.01.2023,"3,605",Бенгальские огни,,,,,https://your.beer/beer/brewlok-brewery-bengalskie-ogni
Brewlok,IPA - New England / Hazy,,"6,2%",,,10.03.2023,"3,724",Эфириум,,,,,https://your.beer/beer/brewlok-brewery-efirium
Brewlok,Barleywine - Other,,"6,8%",,,25.12.2022,"3,717","Северянин, Том:2",,,,,https://your.beer/beer/brewlok-brewery-severyanin-tom-2
Brewlok,IPA - Imperial / Double,,"6,8%",,,28.04.2023,"3,696",Терменвокс,,,,,https://your.beer/beer/brewlok-brewery-termenvoks
Brewlok,Sour - Fruited Gose,,"4,3%",,,08.11.2022,"3,276",Сенсация,,,,,https://your.beer/beer/brewlok-brewery-sensaciya
Brewlok,Porter - Imperial / Double Baltic,,"6,8%",,,08.12.2022,"4,25",Достоевский. Том 8,,,,,https://your.beer/beer/brewlok-brewery-dostoevskij-tom-8
Brewlok,Brown Ale - Other,,"5,1%",,,22.12.2022,"3,674",Местные,,,,,https://your.beer/beer/brewlok-brewery-mestnye
Brewlok,Pilsner - Other,,"5,0%",,,05.08.2022,"3,55",Наглецы из Воронежа Pils,,,,,https://your.beer/beer/brewlok-brewery-naglecy-iz-voronezha-pills
Brewlok,IPA - Milkshake,,"6,9%",,,25.11.2022,"3,505",Voronezh Overshake Grapefruit & Calamansi & Tangerine,,,,,https://your.beer/beer/brewlok-brewery-voronezh-overshake-grapefruit-and-calamansi-and-tangerine
Brewlok,Sour - Other Gose,,"4,5%",,,01.07.2022,"3,202",Tomato Gose Cilantro,,,,"                                                                            Coriander,                                                                             Salt,                                                                             Red Pepper,                                                                             Tomato                                                                        ",https://your.beer/beer/brewlok-brewery-tomato-gose-cilantro
Brewlok,Sour - Other,,"6,2%",,,09.08.2022,"3,672",Trip To Grandma,,,,,https://your.beer/beer/brewlok-brewery-trip-to-grandma
Brewlok,Bock - Doppelbock,,"6,8%",,,16.12.2022,"2,938",[Un] Happy New Year,,,,,https://your.beer/beer/brewlok-brewery-un-happy-new-year
Brewlok,IPA - Milkshake,,"6,9%",,,25.11.2022,"3,526",Voronezh Overshake White Chocolate & Mango,,,,,https://your.beer/beer/brewlok-brewery-voronezh-overshake-white-chocolate-and-mango
Brewlok,IPA - Other,,"6,9%",,,15.09.2022,"3,788",Rediscovering Thyself,,,,,https://your.beer/beer/brewlok-brewery-rediscovering-thyself
Brewlok,Lager - Helles,,"5,2%",,,29.07.2022,"3,64",Садко,,,,,https://your.beer/beer/brewlok-brewery-sadko
Brewlok,IPA - Other,,"6,9%",,,05.12.2022,"3,848",Будьте добры ипу,,,,,https://your.beer/beer/brewlok-brewery-budte-dobry-ipu
Brewlok,Barleywine - Other,,"6,8%",,,08.10.2022,"4,162",Волошин. Том 1. Глава 2,,,,,https://your.beer/beer/brewlok-brewery-voloshin-tom-1-glava-2
Brewlok,Stout - Milk / Sweet,,"6,5%",,,11.11.2022,"3,826",Kikimora Coconut Story | Кикимора с кокосом,,,,,https://your.beer/beer/brewlok-brewery-kikimora-coconut-story-kikimora-s-kokosom
Brewlok,Pale Ale - American,,"5,2%",,,19.12.2022,"3,574",Хой,,,,,https://your.beer/beer/brewlok-brewery-hoj
Brewlok,Barleywine - Other,,"6,8%",,,15.10.2022,"3,925",Волошин. Том 1. Глава 3,,,,,https://your.beer/beer/brewlok-brewery-voloshin-tom-1-glava-3
Brewlok,Sour - Other,,"4,5%",,,15.09.2022,"3,389",The Model,,,,,https://your.beer/beer/brewlok-brewery-the-model
Brewlok,Porter - Other,,"6,8%",,,04.08.2022,"4,256",Чехов. Том 1.,,,,,https://your.beer/beer/brewlok-brewery-chehov-tom-1
Brewlok,Lager - Vienna,,"4,5%",,,22.12.2022,"3,63",Банка,,,,,https://your.beer/beer/brewlok-brewery-banka
Brewlok,Stout - Other,,"5,5%",,,05.08.2022,"3,66",Наглецы из Воронежа Stout,,,,,https://your.beer/beer/brewlok-brewery-naglecy-iz-voronezha-stout
Brewlok,IPA - Imperial / Double New England / Hazy,,"6,8%",,,08.04.2022,"3,678",Утопия,,,,,https://your.beer/beer/brewlok-brewery-utopiya
Brewlok,Sour - Other Gose,,"4,5%",,,01.07.2022,"3,569",Tomato Gose Basil,,,,,https://your.beer/beer/brewlok-brewery-tomato-gose-basil
Brewlok,Non-Alcoholic Beer - Other,,"0,5%",,"                                                                            Simcoe,                                                                             Azacca                                                                        ",16.03.2022,"2,806",Так-так-так,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/brewlok-brewery-tak-tak-tak
